K,Accuracy,
1.0000000000,0.9662500000,
3.0000000000,0.9692500000,
5.0000000000,0.9666250000,
10.0000000000,0.9651250000,
30.0000000000,0.9562500000,
50.0000000000,0.9502500000,
70.0000000000,0.9447500000,
80.0000000000,0.9423750000,
90.0000000000,0.9406250000,
100.0000000000,0.9390000000,
,,
